,YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Sample_Size,Gender,Race,Age
18,2019,Nevada,Cigarette Use (Adults),Smoking Frequency,Some Days,38.6,211,Male,All Races,All Ages
19,2019,Louisiana,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,47,226,Overall,All Races,All Ages
20,2019,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
21,2019,Ohio,Smokeless Tobacco Use (Adults),Current Use,,3,7223,Overall,All Races,Age 25 and Older
22,2019,Illinois,Cigarette Use (Adults),Smoking Status,Current,14.5,5338,Overall,All Races,All Ages
23,2019,Maine,Smokeless Tobacco Use (Adults),Current Use,,2,7139,Overall,All Races,Age 25 and Older
24,2019,Oregon,Cigarette Use (Adults),Current Smoking,,14.6,983,Female,All Races,18 to 44 Years
25,2019,Louisiana,Cigarette Use (Adults),Current Smoking,,14.7,2596,Overall,All Races,Age 20 and Older
26,2019,Alaska,Smokeless Tobacco Use (Adults),User Status,Current,2.4,1493,Female,All Races,All Ages
27,2019,Puerto Rico,Smokeless Tobacco Use (Adults),Current Use,,0.3,2114,Overall,All Races,45 to 64 Years
28,2019,Mississippi,Smokeless Tobacco Use (Adults),Current Use,,7.9,1400,Overall,All Races,Age 25 and Older
29,2019,Iowa,Cigarette Use (Adults),Smoking Status,Current,14.8,5064,Female,All Races,All Ages
30,2019,New Mexico,Cigarette Use (Adults),Current Smoking,,17.2,1996,Overall,All Races,45 to 64 Years
31,2019,New Mexico,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,826,Overall,All Races,All Ages
32,2019,South Carolina,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,,Female,All Races,All Ages
33,2019,Vermont,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,65.8,1389,Male,All Races,All Ages
34,2019,Georgia,Smokeless Tobacco Use (Adults),Current Use,,8.3,3020,Male,All Races,All Ages
35,2019,New Mexico,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.4,239,Overall,All Races,All Ages
36,2019,Alaska,Cigarette Use (Adults),Smoking Status,Current,17.4,2849,Overall,All Races,All Ages
37,2019,South Carolina,Cigarette Use (Adults),Current Smoking,,22.4,1757,Overall,All Races,Age 20 and Older
38,2019,Nevada,Smokeless Tobacco Use (Adults),Current Use,,1.4,846,Overall,All Races,65 Years and Older
39,2019,Nevada,Smokeless Tobacco Use (Adults),User Status,Current,3,2709,Overall,All Races,All Ages
40,2019,Maine,Cigarette Use (Adults),Smoking Status,Former,32.3,4652,Male,All Races,All Ages
41,2019,Nebraska,Cigarette Use (Adults),Smoking Status,Never,60.6,15301,Overall,All Races,All Ages
42,2019,Michigan,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,58.7,4584,Overall,All Races,All Ages
43,2019,Pennsylvania,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,58.2,1351,Female,All Races,All Ages
44,2019,Nevada,Cigarette Use (Adults),Current Smoking,,15.7,2702,Overall,All Races,All Ages
45,2019,Wisconsin,Cigarette Use (Adults),Smoking Status,Former,26.8,4739,Overall,All Races,All Ages
46,2019,Minnesota,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41,502,Male,All Races,All Ages
47,2019,Nebraska,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,62.7,6088,Overall,All Races,All Ages
48,2019,Maryland,Smokeless Tobacco Use (Adults),User Status,Not Current,97.8,16624,Overall,All Races,All Ages
49,2019,Indiana,Smokeless Tobacco Use (Adults),Current Use,,6.7,441,Overall,All Races,18 to 24 Years
50,2019,California,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,59.1,162,Male,All Races,All Ages
51,2019,Wisconsin,Cigarette Use (Adults),Smoking Status,Never,63.1,2588,Female,All Races,All Ages
52,2019,Minnesota,Cigarette Use (Adults),Smoking Frequency,Every Day,72.1,1094,Male,All Races,All Ages
53,2019,Virginia,Cigarette Use (Adults),Current Smoking,,20.9,2096,Overall,All Races,Age 20 and Older
54,2019,Tennessee,Cigarette Use (Adults),Smoking Status,Never,54.8,5885,Overall,All Races,All Ages
55,2019,New York,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58.5,267,Overall,All Races,All Ages
56,2019,Puerto Rico,Cigarette Use (Adults),Smoking Frequency,Some Days,28.8,236,Female,All Races,All Ages
57,2019,Kansas,Cigarette Use (Adults),Smoking Status,Current,16.2,10814,Overall,All Races,All Ages
58,2019,Guam,Smokeless Tobacco Use (Adults),User Status,Current,8.2,2328,Overall,All Races,All Ages
59,2019,Rhode Island,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,54.4,492,Overall,All Races,All Ages
60,2019,Virginia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.9,285,Overall,All Races,All Ages
61,2019,Wisconsin,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,2594,Female,All Races,All Ages
62,2019,California,Smokeless Tobacco Use (Adults),Current Use,,1.4,6709,Overall,All Races,Age 25 and Older
63,2019,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Male,All Races,All Ages
64,2019,Illinois,Cigarette Use (Adults),Smoking Status,Never,54.5,2502,Male,All Races,All Ages
65,2019,Arkansas,Cigarette Use (Adults),Smoking Status,Never,54.3,5116,Overall,All Races,All Ages
66,2019,North Carolina,Smokeless Tobacco Use (Adults),Current Use,,4.5,1478,Overall,All Races,45 to 64 Years
67,2019,Hawaii,Smokeless Tobacco Use (Adults),Current Use,,3.1,1821,Overall,All Races,25 to 44 Years
68,2019,Mississippi,Smokeless Tobacco Use (Adults),User Status,Current,7.4,4968,Overall,All Races,All Ages
69,2019,West Virginia,Cigarette Use (Adults),Smoking Frequency,Every Day,77.1,1042,Overall,All Races,All Ages
70,2019,Kentucky,Cigarette Use (Adults),Smoking Status,Never,48.2,3387,Male,All Races,All Ages
71,2019,Ohio,Cigarette Use (Adults),Smoking Status,Current,20,7519,Female,All Races,All Ages
72,2019,Delaware,Cigarette Use (Adults),Current Smoking,,24.7,347,Overall,All Races,Age 25 and Older
73,2019,Missouri,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,46.1,436,Male,All Races,All Ages
74,2019,North Dakota,Cigarette Use (Adults),Current Smoking,,18.1,2543,Male,All Races,All Ages
75,2019,North Carolina,Cigarette Use (Adults),Current Smoking,,18.5,4131,Overall,All Races,All Ages
76,2019,North Carolina,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.7,180,Overall,All Races,All Ages
77,2019,Indiana,Cigarette Use (Adults),Current Smoking,,35.7,596,Overall,All Races,Age 20 and Older
78,2019,Idaho,Cigarette Use (Adults),Current Smoking,,15.3,814,Female,All Races,18 to 44 Years
79,2019,Montana,Smokeless Tobacco Use (Adults),User Status,Current,7.4,6332,Overall,All Races,All Ages
80,2019,Connecticut,Smokeless Tobacco Use (Adults),Current Use,,0.9,3345,Overall,All Races,45 to 64 Years
81,2019,North Dakota,Smokeless Tobacco Use (Adults),User Status,Current,1.4,2891,Female,All Races,All Ages
82,2019,Virginia,Cigarette Use (Adults),Smoking Status,Former,26,4249,Male,All Races,All Ages
83,2019,Arkansas,Cigarette Use (Adults),Current Smoking,,29.6,458,Overall,All Races,Age 25 and Older
84,2019,North Dakota,Smokeless Tobacco Use (Adults),Current Use,,6.7,5445,Overall,All Races,All Ages
85,2019,Idaho,Cigarette Use (Adults),Current Smoking,,30.8,341,Overall,All Races,Age 20 and Older
86,2019,Alabama,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,54.5,2926,Overall,All Races,All Ages
87,2019,Iowa,Smokeless Tobacco Use (Adults),Current Use,,2.2,3281,Overall,All Races,65 Years and Older
88,2019,New Mexico,Smokeless Tobacco Use (Adults),Current Use,,5,5767,Overall,All Races,All Ages
89,2019,Georgia,Smokeless Tobacco Use (Adults),User Status,Current,1,3858,Female,All Races,All Ages
90,2019,Delaware,Smokeless Tobacco Use (Adults),Current Use,,0.8,564,Female,All Races,18 to 44 Years
91,2019,Florida,Cigarette Use (Adults),Smoking Frequency,Some Days,33.9,2639,Overall,All Races,All Ages
92,2019,Mississippi,Smokeless Tobacco Use (Adults),Current Use,,6.1,1813,Overall,All Races,65 Years and Older
93,2019,Kentucky,Cigarette Use (Adults),Current Smoking,,12.1,2723,Overall,All Races,65 Years and Older
94,2019,Montana,Cigarette Use (Adults),Current Smoking,,19.2,820,Female,All Races,18 to 44 Years
95,2019,Montana,Cigarette Use (Adults),Smoking Status,Former,26.7,6299,Overall,All Races,All Ages
96,2019,Alaska,Cigarette Use (Adults),Current Smoking,,12.5,875,Overall,All Races,65 Years and Older
97,2019,Maryland,Smokeless Tobacco Use (Adults),Current Use,,1.7,1782,Female,All Races,18 to 44 Years
98,2019,New Mexico,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,61.3,1332,Male,All Races,All Ages
99,2019,Maryland,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,52.9,218,Male,All Races,All Ages
100,2019,Indiana,Smokeless Tobacco Use (Adults),Current Use,,6.5,2611,Overall,All Races,Age 20 and Older
101,2019,Tennessee,Smokeless Tobacco Use (Adults),Current Use,,7.9,1300,Overall,All Races,25 to 44 Years
102,2019,California,Smokeless Tobacco Use (Adults),User Status,Not Current,98.1,10872,Overall,All Races,All Ages
103,2019,New Jersey,Smokeless Tobacco Use (Adults),Current Use,,,,Overall,All Races,45 to 64 Years
104,2019,Wisconsin,Smokeless Tobacco Use (Adults),Current Use,,3.1,4748,Overall,All Races,All Ages
105,2019,Iowa,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,,Female,All Races,All Ages
106,2019,Washington,Smokeless Tobacco Use (Adults),Current Use,,5.2,2378,Overall,All Races,Age 25 and Older
107,2019,Minnesota,Smokeless Tobacco Use (Adults),Current Use,,3.2,10833,Overall,All Races,Age 20 and Older
108,2019,Arizona,Cigarette Use (Adults),Smoking Frequency,Some Days,40.3,539,Male,All Races,All Ages
109,2019,Kansas,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,48.3,546,Male,All Races,All Ages
110,2019,Delaware,Cigarette Use (Adults),Smoking Frequency,Every Day,69,285,Female,All Races,All Ages
111,2019,Iowa,Cigarette Use (Adults),Current Smoking,,23,2672,Overall,All Races,Age 25 and Older
112,2019,New Mexico,Cigarette Use (Adults),Smoking Status,Current,16,5746,Overall,All Races,All Ages
113,2019,North Dakota,Cigarette Use (Adults),Current Smoking,,13.8,3670,Overall,All Races,Age 20 and Older
114,2019,District of Columbia,Cigarette Use (Adults),Current Smoking,,5.7,122,Overall,All Races,18 to 24 Years
115,2019,Rhode Island,Smokeless Tobacco Use (Adults),Current Use,,0,660,Female,All Races,18 to 44 Years
116,2019,Georgia,Smokeless Tobacco Use (Adults),Current Use,,4.5,6878,Overall,All Races,All Ages
117,2019,Montana,Cigarette Use (Adults),Current Smoking,,16.7,3081,Male,All Races,All Ages
118,2019,New Jersey,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,,,Female,All Races,All Ages
119,2019,Nevada,Smokeless Tobacco Use (Adults),Current Use,,0.8,1429,Female,All Races,All Ages
120,2019,Rhode Island,Cigarette Use (Adults),Current Smoking,,21.3,1277,Overall,All Races,Age 25 and Older
121,2019,Massachusetts,Cigarette Use (Adults),Smoking Status,Former,26.3,3409,Male,All Races,All Ages
122,2019,Alaska,Smokeless Tobacco Use (Adults),Current Use,,22,115,Overall,All Races,Age 20 and Older
123,2019,Nevada,Cigarette Use (Adults),Smoking Status,Never,66.3,1424,Female,All Races,All Ages
124,2019,Utah,Smokeless Tobacco Use (Adults),Current Use,,4.7,477,Overall,All Races,Age 20 and Older
125,2019,Florida,Smokeless Tobacco Use (Adults),Current Use,,4.2,1574,Overall,All Races,Age 20 and Older
126,2019,Georgia,Cigarette Use (Adults),Current Smoking,,11.2,4166,Overall,All Races,Age 20 and Older
127,2019,Missouri,Cigarette Use (Adults),Smoking Status,Never,53.8,7088,Overall,All Races,All Ages
128,2019,Arkansas,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,49.9,253,Male,All Races,All Ages
129,2019,Arkansas,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,33.5,190,Male,All Races,All Ages
130,2019,New Jersey,Cigarette Use (Adults),Current Smoking,,,,Overall,All Races,Age 25 and Older
131,2019,Ohio,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,56.6,516,Overall,All Races,All Ages
132,2019,Indiana,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,44.8,1003,Overall,All Races,All Ages
133,2019,Pennsylvania,Cigarette Use (Adults),Smoking Status,Current,16.5,3287,Female,All Races,All Ages
134,2019,Maryland,Cigarette Use (Adults),Smoking Status,Current,14.2,7239,Male,All Races,All Ages
135,2019,Wyoming,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,29.3,252,Male,All Races,All Ages
136,2019,North Dakota,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,50.7,539,Overall,All Races,All Ages
137,2019,Texas,Cigarette Use (Adults),Smoking Frequency,Some Days,41,816,Male,All Races,All Ages
138,2019,New York,Cigarette Use (Adults),Smoking Status,Current,14.2,6115,Male,All Races,All Ages
139,2019,New York,Smokeless Tobacco Use (Adults),Current Use,,3.5,3135,Overall,All Races,Age 20 and Older
140,2019,Puerto Rico,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
141,2019,Nebraska,Smokeless Tobacco Use (Adults),User Status,Current,0.9,8392,Female,All Races,All Ages
142,2019,Washington,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,43.5,310,Male,All Races,All Ages
143,2019,Maine,Cigarette Use (Adults),Current Smoking,,11.8,7085,Overall,All Races,Age 25 and Older
144,2019,Pennsylvania,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,60.4,2801,Overall,All Races,All Ages
145,2019,Mississippi,Cigarette Use (Adults),Smoking Status,Former,21.9,4945,Overall,All Races,All Ages
146,2019,Oklahoma,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,465,Male,All Races,All Ages
147,2019,Virginia,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,61.5,1963,Female,All Races,All Ages
148,2019,Washington,Cigarette Use (Adults),Current Smoking,,9.9,8546,Overall,All Races,Age 25 and Older
149,2019,Vermont,Cigarette Use (Adults),Smoking Status,Former,29.6,6125,Overall,All Races,All Ages
150,2019,Illinois,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,63.5,2117,Overall,All Races,All Ages
151,2019,North Dakota,Cigarette Use (Adults),Smoking Status,Former,18.6,2884,Female,All Races,All Ages
152,2019,South Carolina,Smokeless Tobacco Use (Adults),Current Use,,1.4,3777,Female,All Races,All Ages
153,2019,Tennessee,Cigarette Use (Adults),Current Smoking,,24.4,1697,Overall,All Races,Age 25 and Older
154,2019,Rhode Island,Cigarette Use (Adults),Smoking Status,Former,25.1,3189,Female,All Races,All Ages
155,2019,Ohio,Cigarette Use (Adults),Smoking Frequency,Some Days,22.9,2352,Overall,All Races,All Ages
156,2019,Louisiana,Smokeless Tobacco Use (Adults),Current Use,,5.8,4467,Overall,All Races,All Ages
157,2019,Virginia,Smokeless Tobacco Use (Adults),Current Use,,5.9,2106,Overall,All Races,Age 20 and Older
158,2019,Maine,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,65.1,2952,Female,All Races,All Ages
159,2019,California,Cigarette Use (Adults),Smoking Frequency,Every Day,57.3,1102,Overall,All Races,All Ages
160,2019,Rhode Island,Cigarette Use (Adults),Smoking Frequency,Some Days,31.8,384,Female,All Races,All Ages
161,2019,Massachusetts,Cigarette Use (Adults),Current Smoking,,14.5,3409,Male,All Races,All Ages
162,2019,Montana,Cigarette Use (Adults),Current Smoking,,24.9,1557,Overall,All Races,Age 25 and Older
163,2019,New Jersey,Smokeless Tobacco Use (Adults),Current Use,,,,Overall,All Races,18 to 24 Years
164,2019,South Dakota,Cigarette Use (Adults),Smoking Status,Never,61.1,3642,Female,All Races,All Ages
165,2019,Georgia,Cigarette Use (Adults),Smoking Status,Current,19,3005,Male,All Races,All Ages
166,2019,Indiana,Cigarette Use (Adults),Current Smoking,,17.3,4644,Female,All Races,All Ages
167,2019,Oklahoma,Cigarette Use (Adults),Smoking Status,Never,49.8,2608,Male,All Races,All Ages
168,2019,Oklahoma,Smokeless Tobacco Use (Adults),Current Use,,6.8,1940,Overall,All Races,45 to 64 Years
169,2019,Nebraska,Cigarette Use (Adults),Current Smoking,,21,4627,Overall,All Races,Age 20 and Older
170,2019,Alabama,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,54.1,431,Female,All Races,All Ages
171,2019,Minnesota,Cigarette Use (Adults),Smoking Frequency,Every Day,72,2027,Overall,All Races,All Ages
172,2019,South Dakota,Smokeless Tobacco Use (Adults),Current Use,,8.9,1712,Overall,All Races,Age 25 and Older
173,2019,Hawaii,Cigarette Use (Adults),Current Smoking,,15.5,258,Overall,All Races,Age 25 and Older
174,2019,South Carolina,Cigarette Use (Adults),Current Smoking,,12.1,4183,Overall,All Races,Age 25 and Older
175,2019,Iowa,Smokeless Tobacco Use (Adults),User Status,Not Current,91.7,4408,Male,All Races,All Ages
176,2019,Connecticut,Cigarette Use (Adults),Current Smoking,,9.2,6031,Overall,All Races,Age 25 and Older
177,2019,Alaska,Smokeless Tobacco Use (Adults),Current Use,,4,1872,Overall,All Races,Age 25 and Older
178,2019,Nevada,Cigarette Use (Adults),Smoking Status,Former,24.5,2702,Overall,All Races,All Ages
179,2019,New Mexico,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,46.7,576,Overall,All Races,All Ages
180,2019,Arkansas,Cigarette Use (Adults),Smoking Status,Former,30,2102,Male,All Races,All Ages
181,2019,Massachusetts,Cigarette Use (Adults),Smoking Frequency,Some Days,28.7,381,Female,All Races,All Ages
182,2019,Nevada,Smokeless Tobacco Use (Adults),Current Use,,4.4,542,Overall,All Races,Age 25 and Older
183,2019,Pennsylvania,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
184,2019,Iowa,Cigarette Use (Adults),Current Smoking,,16.4,9467,Overall,All Races,All Ages
185,2019,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,66.1,1024,Overall,All Races,All Ages
186,2019,Kansas,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,29.8,481,Overall,All Races,All Ages
187,2019,Hawaii,Cigarette Use (Adults),Smoking Frequency,Every Day,72,397,Female,All Races,All Ages
188,2019,Connecticut,Cigarette Use (Adults),Current Smoking,,7,385,Overall,All Races,18 to 24 Years
189,2019,Florida,Cigarette Use (Adults),Current Smoking,,19.4,5076,Overall,All Races,45 to 64 Years
190,2019,Delaware,Cigarette Use (Adults),Current Smoking,,15.6,237,Overall,All Races,18 to 24 Years
191,2019,New York,Cigarette Use (Adults),Smoking Status,Current,12.7,13230,Overall,All Races,All Ages
192,2019,Mississippi,Cigarette Use (Adults),Current Smoking,,31.9,629,Overall,All Races,Age 20 and Older
193,2019,Vermont,Smokeless Tobacco Use (Adults),Current Use,,0.2,649,Female,All Races,18 to 44 Years
194,2019,Puerto Rico,Cigarette Use (Adults),Current Smoking,,12.9,2222,Male,All Races,All Ages
195,2019,Maryland,Smokeless Tobacco Use (Adults),Current Use,,1.7,6065,Overall,All Races,45 to 64 Years
196,2019,District of Columbia,Smokeless Tobacco Use (Adults),Current Use,,0.7,1909,Overall,All Races,Age 20 and Older
197,2019,Michigan,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,49.9,295,Overall,All Races,All Ages
198,2019,Florida,Cigarette Use (Adults),Smoking Status,Never,62.7,8646,Female,All Races,All Ages
199,2019,Kentucky,Cigarette Use (Adults),Smoking Frequency,Some Days,22.5,1577,Overall,All Races,All Ages
200,2019,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,41.8,228,Male,All Races,All Ages
201,2019,District of Columbia,Cigarette Use (Adults),Smoking Frequency,Some Days,39.2,149,Female,All Races,All Ages
202,2019,Maine,Cigarette Use (Adults),Current Smoking,,7.6,5249,Overall,All Races,65 Years and Older
203,2019,Illinois,Smokeless Tobacco Use (Adults),Current Use,,2.7,356,Overall,All Races,Age 25 and Older
204,2019,Vermont,Cigarette Use (Adults),Smoking Status,Never,58.6,3368,Female,All Races,All Ages
205,2019,Iowa,Cigarette Use (Adults),Smoking Status,Never,54.1,4403,Male,All Races,All Ages
206,2019,Maine,Smokeless Tobacco Use (Adults),User Status,Current,4.9,4682,Male,All Races,All Ages
207,2019,Maryland,Cigarette Use (Adults),Current Smoking,,12.7,16547,Overall,All Races,All Ages
208,2019,New Hampshire,Smokeless Tobacco Use (Adults),Current Use,,0.7,540,Female,All Races,18 to 44 Years
209,2019,Minnesota,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,63.1,3337,Male,All Races,All Ages
210,2019,South Carolina,Cigarette Use (Adults),Smoking Frequency,Some Days,28.3,506,Male,All Races,All Ages
211,2019,Maine,Cigarette Use (Adults),Current Smoking,,17.6,11048,Overall,All Races,All Ages
212,2019,Texas,Cigarette Use (Adults),Current Smoking,,17.1,2801,Overall,All Races,25 to 44 Years
213,2019,Washington,Smokeless Tobacco Use (Adults),Current Use,,4.9,640,Overall,All Races,Age 20 and Older
214,2019,Michigan,Cigarette Use (Adults),Smoking Status,Never,59.2,5662,Female,All Races,All Ages
215,2019,Massachusetts,Smokeless Tobacco Use (Adults),Current Use,,1.9,5477,Overall,All Races,Age 20 and Older
216,2019,Virginia,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,1295,Overall,All Races,All Ages
217,2019,Colorado,Cigarette Use (Adults),Smoking Status,Current,13.5,8664,Overall,All Races,All Ages
218,2019,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,486,Female,All Races,All Ages
219,2019,Michigan,Cigarette Use (Adults),Current Smoking,,25.6,2356,Overall,All Races,Age 25 and Older
220,2019,South Dakota,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,71.2,316,Male,All Races,All Ages
221,2019,Virginia,Cigarette Use (Adults),Current Smoking,,8.3,609,Overall,All Races,18 to 24 Years
222,2019,South Carolina,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,57.4,205,Male,All Races,All Ages
223,2019,Wyoming,Smokeless Tobacco Use (Adults),Current Use,,6.4,3090,Overall,All Races,Age 20 and Older
224,2019,Iowa,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,61,2073,Male,All Races,All Ages
225,2019,Ohio,Smokeless Tobacco Use (Adults),Current Use,,6.1,802,Overall,All Races,Age 20 and Older
226,2019,Oklahoma,Smokeless Tobacco Use (Adults),Current Use,,7.3,6094,Overall,All Races,All Ages
227,2019,Minnesota,Smokeless Tobacco Use (Adults),Current Use,,4.1,14934,Overall,All Races,All Ages
228,2019,Kentucky,Cigarette Use (Adults),Smoking Status,Current,25.1,4348,Female,All Races,All Ages
229,2019,Delaware,Cigarette Use (Adults),Smoking Status,Never,57.8,3705,Overall,All Races,All Ages
230,2019,South Carolina,Cigarette Use (Adults),Current Smoking,,23.2,1297,Overall,All Races,25 to 44 Years
231,2019,Nebraska,Smokeless Tobacco Use (Adults),Current Use,,6.4,930,Overall,All Races,18 to 24 Years
232,2019,Utah,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.6,352,Overall,All Races,All Ages
233,2019,Vermont,Cigarette Use (Adults),Current Smoking,,9.8,4192,Overall,All Races,Age 25 and Older
234,2019,Wisconsin,Cigarette Use (Adults),Current Smoking,,11.2,3092,Overall,All Races,Age 20 and Older
235,2019,Tennessee,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,49.9,368,Male,All Races,All Ages
236,2019,Wisconsin,Cigarette Use (Adults),Current Smoking,,29.2,172,Overall,All Races,Age 25 and Older
237,2019,Vermont,Cigarette Use (Adults),Current Smoking,,38.5,207,Overall,All Races,Age 25 and Older
238,2019,Arizona,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,63.9,3774,Overall,All Races,All Ages
239,2019,Oregon,Cigarette Use (Adults),Smoking Status,Former,23.4,3050,Female,All Races,All Ages
240,2019,Rhode Island,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,66.8,2643,Overall,All Races,All Ages
241,2019,Minnesota,Cigarette Use (Adults),Smoking Status,Current,16.3,7326,Male,All Races,All Ages
242,2019,Missouri,Cigarette Use (Adults),Current Smoking,,39.3,484,Overall,All Races,Age 25 and Older
243,2019,Delaware,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,48.8,372,Overall,All Races,All Ages
244,2019,New Hampshire,Smokeless Tobacco Use (Adults),Current Use,,5.5,217,Overall,All Races,Age 25 and Older
245,2019,Tennessee,Smokeless Tobacco Use (Adults),Current Use,,13.8,553,Overall,All Races,Age 20 and Older
246,2019,Iowa,Cigarette Use (Adults),Smoking Frequency,Some Days,30.1,711,Male,All Races,All Ages
247,2019,Nebraska,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,44.5,744,Male,All Races,All Ages
248,2019,Guam,Cigarette Use (Adults),Current Smoking,,26.7,876,Overall,All Races,45 to 64 Years
249,2019,New Mexico,Cigarette Use (Adults),Smoking Status,Never,52.6,2661,Male,All Races,All Ages
250,2019,Virginia,Cigarette Use (Adults),Smoking Status,Current,15.3,4249,Male,All Races,All Ages
